split,model,metric,reported,recomputed,diff,status
trainval_oof,UCF_only,AUC,0.7632,0.76316050558565,3.949441435002754e-05,PASS
test_holdout,UCF_only,AUC,0.7295,0.7295136575616256,1.3657561625524117e-05,PASS
trainval_oof,ThreeModality_full,AUC,0.9307,0.9306506339663075,4.9366033692432865e-05,PASS
test_holdout,ThreeModality_full,AUC,0.9553,0.9560293137908061,0.0007293137908060965,PASS
trainval_oof,ThreeModality_full,ACC,0.8551,0.8551181102362204,1.8110236220447717e-05,PASS
test_holdout,ThreeModality_full,ACC,0.8581,0.8580645161290322,3.548387096774519e-05,PASS
trainval_oof,ThreeModality_full,F1,0.8535,0.8535031847133758,3.184713375792292e-06,PASS
test_holdout,ThreeModality_full,F1,0.8571,0.8571428571428571,4.285714285712228e-05,PASS
trainval_oof,ThreeModality_full,Precision,0.8535,0.8535031847133758,3.184713375792292e-06,PASS
test_holdout,ThreeModality_full,Precision,0.8462,0.8461538461538461,4.615384615380691e-05,PASS
trainval_oof,ThreeModality_full,Recall,0.8535,0.8535031847133758,3.184713375792292e-06,PASS
test_holdout,ThreeModality_full,Recall,0.8684,0.868421052631579,2.10526315790327e-05,PASS
trainval_oof,ThreeModality_full,EER,0.1496,0.1495723951822529,2.7604817747106658e-05,PASS
test_holdout,ThreeModality_full,EER,0.1228,0.1227514990006662,4.850099933380314e-05,PASS
