dominant_emotion,n,n_real,n_fake,error_rate,fp_rate,fn_rate,AUC
sexual_lust,18,7,11,0.3333333333333333,0.14285714285714285,0.45454545454545453,0.8311688311688311
amusement,14,4,10,0.2857142857142857,0.25,0.3,0.8250000000000001
thankfulness_gratitude,11,2,9,0.2727272727272727,1.0,0.1111111111111111,0.7777777777777778
contentment,282,144,138,0.2375886524822695,0.16666666666666666,0.3115942028985507,0.8249295491143318
anger,20,8,12,0.2,0.125,0.25,0.8854166666666667
disappointment,10,3,7,0.2,0.3333333333333333,0.14285714285714285,0.8571428571428572
interest,17,9,8,0.17647058823529413,0.1111111111111111,0.25,0.9027777777777778
astonishment_surprise,263,135,128,0.17490494296577946,0.0962962962962963,0.2578125,0.8991608796296295
elation,136,85,51,0.16911764705882354,0.15294117647058825,0.19607843137254902,0.9388696655132641
embarrassment,17,3,14,0.058823529411764705,0.0,0.07142857142857142,1.0
