generator,forgery_family,n_fake,n_real_paired,auc_threemodality,auc_ucf,delta_auc,mean_gate_q,mean_gate_s,mean_gate_t,dominant_modality,mean_pred_score
MCNET,FaceReenact,11,179,0.9766,0.6384,0.3382,0.8262,0.1203,0.0535,quality,0.8353
HyperReenact,FaceReenact,10,179,1.0,0.6642,0.3358,0.8984,0.0159,0.0857,quality,0.9815
DaGAN,FaceReenact,7,179,1.0,0.6864,0.3136,0.9681,0.0028,0.0292,quality,0.9871
LIA,FaceReenact,10,179,1.0,0.7112,0.2888,0.9652,0.0068,0.028,quality,0.9833
LivePortrait,FaceReenact,10,179,0.9341,0.6542,0.2799,0.4245,0.359,0.2165,quality,0.6089
FSRT,FaceReenact,8,179,0.9742,0.9169,0.0573,0.8404,0.1193,0.0403,quality,0.8507
TPSMM,FaceReenact,8,179,0.9777,0.9399,0.0377,0.7686,0.1393,0.0922,quality,0.8671
SimSwap,FaceSwap,6,179,0.9749,0.5317,0.4432,0.6013,0.2182,0.1805,quality,0.8132
HifiFace,FaceSwap,7,179,0.9745,0.6057,0.3687,0.4673,0.2925,0.2401,quality,0.7738
UniFace,FaceSwap,9,179,0.9572,0.7126,0.2446,0.7688,0.1177,0.1135,quality,0.7456
GHOST,FaceSwap,6,179,0.9404,0.7151,0.2253,0.6103,0.1961,0.1936,quality,0.7487
BlendFace,FaceSwap,8,179,0.9302,0.7577,0.1725,0.5122,0.3308,0.1571,quality,0.6869
MobileFaceSwap,FaceSwap,7,179,0.854,0.7127,0.1413,0.2024,0.6045,0.1931,emotion_static,0.4501
InSwapper,FaceSwap,7,179,0.9976,0.9505,0.0471,0.7784,0.1002,0.1214,quality,0.9435
CelebDFv2,FaceSwap,6,179,0.9153,0.9274,-0.0121,0.2934,0.3635,0.3431,emotion_static,0.5145
FLOAT,TalkingFace,6,179,0.986,0.3426,0.6434,0.7054,0.1012,0.1933,quality,0.8555
AniTalker,TalkingFace,9,179,0.9863,0.7256,0.2607,0.8478,0.0626,0.0896,quality,0.8908
SadTalker,TalkingFace,10,179,0.9911,0.7385,0.2525,0.9146,0.0505,0.0349,quality,0.936
EchoMimic,TalkingFace,8,179,1.0,0.7758,0.2242,0.9672,0.0037,0.029,quality,0.9907
Real3DPortrait,TalkingFace,6,179,1.0,0.8128,0.1872,0.9994,0.0,0.0006,quality,0.9985
EDTalk,TalkingFace,7,179,1.0,0.9122,0.0878,0.9907,0.0005,0.0088,quality,0.9961
IP_LAP,TalkingFace,6,179,1.0,0.9628,0.0372,0.9711,0.0026,0.0262,quality,0.9707
